"+forward"			"Avancer"
"+back"			"Reculer"
"+moveleft"		"Pas à gauche (latéral)"
"+moveright"		"Pas à droite (latéral)"
"+strafe"			"Modificateur pas latéral"
"+speed"            	"Marcher"
"autospeed"		"Basculer Marche/Course"
"automove"			"Basculer Auto-Mouvement"
"+jump"			"Sauter"
"+duck"			"Esquiver"
"+moveup"			"Nager vers haut"
"+movedown"		"Nager vers bas"
"+left"			"Tourner gauche"
"+right"			"Tourner droite"
"+attack"			"Attaque principale"
"+wpn_secondaryatk"	"Changer mode attaque"
"+reload"			"Recharger arme"
"holster"			"Etui arme"
"lastinv"			"Dernière arme utilisée"
"dropitem"			"Poser objet actuel"
"slot2"			"Armes de mêlée"
"slot3" 			"Armes à distance"
"slot4"			"Armes de lancer"
"slot5"			"Armure"
"slot6"			"Inventaire général"
"slot1"			"Sélectionner discipline"
"vm_discipline"		"Utiliser discipline"
"vdiscipline_endall"	"Arrêt des disciplines actives"
"toggleuiside"		"Alterner sélection armes/disciplines"
"invprev"			"Sélection précédente"
"invnext"			"Sélection suivante"
"+use"			"Utiliser"
"+feed"			"Nourrir"
"+questlog"		"Journal quête"
"+chareditor"		"Editeur personnage"
"dlghist"			"Voir historique dialogues"
"dlgscrlup"		"Défiler dialogues vers haut"
"dlgscrldn"		"Défiler dialogues vers bas"
"+mlook"			"Vue souris"
"pause"			"Pause"
"toggleconsole"		"Console"
"save quick"		"Sauvegarde rapide"
"load quick"		"Chargement rapide"
"snapshot"			"Capture d'écran"
"togglecamera"		"Alterner vue 1ère/3ème personne"
"+camin"			"Camera: Zoom avant"
"+camout"			"Camera: Zoom arrière"
"cam_rotateleft" 	"Camera: Rotation à gauche"
"cam_rotateright" 	"Camera: Rotation à droite"
"cam_restore" 		"Camera: Restauration"
"showhotkeys"		"Menu raccourcis clavier"
"vhotkey #1"		"Raccourci 1"
"vhotkey #2"		"Raccourci 2"
"vhotkey #3"		"Raccourci 3"
"vhotkey #4"		"Raccourci 4"
"vhotkey #5"		"Raccourci 5"
"vhotkey #6"		"Raccourci 6"
"vhotkey #7"		"Raccourci 7"
"vhotkey #8"		"Raccourci 8"
"vhotkey #9"		"Raccourci 9"
"vhotkey #10"		"Raccourci 10"
" "				" "

