"+forward"			"Avancer"
"+back"				"Reculer"
"+moveleft"			"Pas à gauche (latéral)"
"+moveright"			"Pas à droite (latéral)"
"+strafe"			"Modificateur pas latéral"
"+speed"             		"Marcher"
"autospeed"			"Basculer Marche/Course"
"automove"			"Basculer Auto-Mouvement"
"+jump"				"Sauter"
"+duck"				"Esquiver"
"+moveup"			"Nager vers haut"
"+movedown"			"Nager vers bas"
"+left"				"Tourner gauche"
"+right"			"Tourner droite"
" "					" "
"+attack"			"Attaque principale"
"+wpn_secondaryatk"		"Changer mode attaque"
"+reload"			"Recharger arme"
"holster"			"Etui arme"
"lastinv"			"Dernière arme utilisée"
"dropitem"			"Poser objet actuel"
"slot2"				"Armes de mêlée"
"slot3" 			"Armes à distance"
"slot5"				"Armure"
"slot1"				"Sélectionner discipline"
"vm_discipline"			"Utiliser discipline"
//"vdiscipline_last"		"Utiliser Discipline"
"vdiscipline_endall"		"Arrêt des disciplines actives"
"invprev"			"Sélection précédente"
"invnext"			"Sélection suivante"
"toggleuiside"			"Alterner sélection armes/disciplines"
"slot6"				"Inventaire général"
"+use"				"Utiliser"
"+feed"				"Nourrir"
" "					" "
"+chareditor"			"Editeur personnage"
"+questlog"			"Journal quête"
"showhotkeys"			"Menu raccourcis clavier"
"dlghist"			"Voir historique dialogues"
"dlgscrlup"			"Défiler dialogues vers haut"
"dlgscrldn"			"Défiler dialogues vers bas"
"pause"				"Pause"
"snapshot"			"Capture d'écran"
"save quick"			"Sauvegarde rapide"
"load quick"			"Chargement rapide"
" "					" "
"+mlook"			"Vue souris"
"togglecamera"			"Alterner vue 1ère/3ème personne"
"+camin"			"Camera: Zoom avant"
"+camout"			"Camera: Zoom arrière"
"cam_rotateleft" 		"Camera: Rotation à gauche"
"cam_rotateright" 		"Camera: Rotation à droite"
"cam_restore" 		"Camera: Restauration"
